target_id,outer_fold,method,selected_k,adaptive_k,selected_receptor_ids,test_bedroc_alpha_20,test_roc_auc,test_pr_auc_average_precision,test_EF1%,test_EF5%,test_EF10%
PPARA,1,linear,4,4,2NPA+2P54+3KDU+4BCR,0.9778618455585399,0.9943576388888888,0.9703021875190486,5.0,5.0,4.583333333333333
PPARA,1,greedy,4,4,2NPA+2P54+3KDU+4BCR,0.9778618455585399,0.9943576388888888,0.9703021875190486,5.0,5.0,4.583333333333333
PPARA,1,single,1,4,3KDU,0.9936663769630562,0.9969618055555556,0.9866312458517834,5.0,5.0,5.0
PPARA,2,qubo,3,3,2NPA+3KDU+4BCR,0.7799915140243038,0.8532986111111112,0.6795130843144408,2.5,4.166666666666667,4.166666666666667
PPARA,2,linear,3,3,2NPA+3KDU+4BCR,0.7799915140243038,0.8532986111111112,0.6795130843144408,2.5,4.166666666666667,4.166666666666667
PPARA,2,greedy,3,3,2NPA+3KDU+4BCR,0.7799915140243038,0.8532986111111112,0.6795130843144408,2.5,4.166666666666667,4.166666666666667
PPARA,2,single,1,3,3KDU,0.6138543282105393,0.8684895833333334,0.6043416687881757,2.5,2.5,3.333333333333333
PPARA,3,qubo,2,2,2P54+3KDU,0.2743007632851777,0.7330729166666666,0.34213214723134294,0.0,1.6666666666666665,1.6666666666666665
PPARA,3,linear,2,2,2P54+3KDU,0.2743007632851777,0.7330729166666666,0.34213214723134294,0.0,1.6666666666666665,1.6666666666666665
PPARA,3,greedy,2,2,2NPA+2P54,0.353156779223079,0.7352430555555556,0.37283532082363585,2.5,1.6666666666666665,1.6666666666666665
PPARA,3,single,1,2,2P54,0.23290099810298504,0.7417534722222222,0.34807722121615403,0.0,0.8333333333333333,1.25
PPARA,4,qubo,4,4,2NPA+2P54+2REW+4BCR,0.6410113802142844,0.8637152777777778,0.6110808563881435,0.0,3.333333333333333,3.75
PPARA,4,linear,4,4,2NPA+2P54+2REW+3KDU,0.6519996650338652,0.8776041666666666,0.6319642950076156,2.5,3.333333333333333,3.75
PPARA,4,greedy,4,4,2NPA+2P54+2REW+4BCR,0.6410113802142844,0.8637152777777778,0.6110808563881435,0.0,3.333333333333333,3.75
PPARA,4,single,1,4,2REW,0.3850589928327276,0.8365885416666666,0.4669146805951862,0.0,1.6666666666666665,2.0833333333333335
PPARA,5,qubo,1,1,2NPA,0.5263145043368187,0.82421875,0.5027985933582443,5.0,2.5,2.5
PPARA,5,linear,1,1,2NPA,0.5263145043368187,0.82421875,0.5027985933582443,5.0,2.5,2.5
PPARA,5,greedy,1,1,2NPA,0.5263145043368187,0.82421875,0.5027985933582443,5.0,2.5,2.5
PPARA,5,single,1,1,2NPA,0.5263145043368187,0.82421875,0.5027985933582443,5.0,2.5,2.5
PPARG,1,qubo,1,1,1FM9,0.4714759228950016,0.6085069444444444,0.3496887150899473,2.5,3.333333333333333,1.6666666666666665
PPARG,1,linear,1,1,1FM9,0.4714759228950016,0.6085069444444444,0.3496887150899473,2.5,3.333333333333333,1.6666666666666665
PPARG,1,greedy,1,1,1FM9,0.4714759228950016,0.6085069444444444,0.3496887150899473,2.5,3.333333333333333,1.6666666666666665
PPARG,1,single,1,1,1FM9,0.4714759228950016,0.6085069444444444,0.3496887150899473,2.5,3.333333333333333,1.6666666666666665
PPARG,2,qubo,1,1,1FM9,0.6214415325178212,0.7892795138888888,0.5158900595567876,5.0,3.333333333333333,2.5
PPARG,2,linear,1,1,1FM9,0.6214415325178212,0.7892795138888888,0.5158900595567876,5.0,3.333333333333333,2.5
PPARG,2,greedy,1,1,1FM9,0.6214415325178212,0.7892795138888888,0.5158900595567876,5.0,3.333333333333333,2.5
PPARG,2,single,1,1,1FM9,0.6214415325178212,0.7892795138888888,0.5158900595567876,5.0,3.333333333333333,2.5
PPARG,3,qubo,2,2,1FM9+1RDT,0.40977166111207164,0.7456597222222222,0.3862076477180778,2.5,1.6666666666666665,2.5
PPARG,3,linear,2,2,1FM9+1K74,0.45402284125479014,0.7287326388888888,0.40753247219617356,5.0,1.6666666666666665,2.0833333333333335
PPARG,3,greedy,2,2,1FM9+2GTK,0.5476151888987184,0.7667100694444444,0.46813200816539596,2.5,3.333333333333333,2.9166666666666665
PPARG,3,single,1,2,1FM9,0.4098516330679217,0.7354600694444444,0.3982283637781392,2.5,1.6666666666666665,1.6666666666666665
PPARG,4,qubo,3,3,1FM9+1RDT+2GTK,0.7300936081738224,0.8038194444444444,0.5876974413147139,5.0,4.166666666666667,3.333333333333333
PPARG,4,linear,3,3,1FM9+1K74+1RDT,0.6122610667883407,0.8133680555555556,0.5346580415200863,2.5,3.333333333333333,2.9166666666666665
PPARG,4,greedy,3,3,1FM9+1RDT+2GTK,0.7300936081738224,0.8038194444444444,0.5876974413147139,5.0,4.166666666666667,3.333333333333333
PPARG,4,single,1,3,1RDT,0.45917878682304153,0.7886284722222222,0.4567453405440854,2.5,2.5,2.0833333333333335
PPARG,5,qubo,1,1,1FM9,0.647926233587466,0.7513020833333334,0.5092848233811061,5.0,3.333333333333333,3.75
PPARG,5,linear,1,1,1FM9,0.647926233587466,0.7513020833333334,0.5092848233811061,5.0,3.333333333333333,3.75
PPARG,5,greedy,1,1,1FM9,0.647926233587466,0.7513020833333334,0.5092848233811061,5.0,3.333333333333333,3.75
PPARG,5,single,1,1,1FM9,0.647926233587466,0.7513020833333334,0.5092848233811061,5.0,3.333333333333333,3.75
