target_id,comparison,metric,mean_delta,worst_fold_delta,best_fold_delta,positive_fold_fraction,fold_deltas
PPARG,qubo_minus_linear,roc_auc,0.001475694444444442,-0.00954861111111116,0.01692708333333337,0.2,0.000000|0.000000|0.016927|-0.009549|0.000000
PPARG,qubo_minus_linear,pr_auc_average_precision,0.006342915063306365,-0.02132482447809575,0.05303939979462757,0.2,0.000000|0.000000|-0.021325|0.053039|0.000000
PPARG,qubo_minus_linear,EF1%,0.0,-2.5,2.5,0.2,0.000000|0.000000|-2.500000|2.500000|0.000000
PPARG,qubo_minus_linear,EF5%,0.1666666666666668,0.0,0.8333333333333339,0.2,0.000000|0.000000|0.000000|0.833333|0.000000
PPARG,qubo_minus_linear,EF10%,0.1666666666666666,0.0,0.4166666666666665,0.4,0.000000|0.000000|0.416667|0.416667|0.000000
PPARG,qubo_minus_greedy,bedroc_alpha_20,-0.027568705557329355,-0.13784352778664677,0.0,0.0,0.000000|0.000000|-0.137844|0.000000|0.000000
PPARG,qubo_minus_greedy,roc_auc,-0.004210069444444442,-0.02105034722222221,0.0,0.0,0.000000|0.000000|-0.021050|0.000000|0.000000
PPARG,qubo_minus_greedy,pr_auc_average_precision,-0.016384872089463633,-0.08192436044731816,0.0,0.0,0.000000|0.000000|-0.081924|0.000000|0.000000
PPARG,qubo_minus_greedy,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARG,qubo_minus_greedy,EF5%,-0.3333333333333333,-1.6666666666666665,0.0,0.0,0.000000|0.000000|-1.666667|0.000000|0.000000
PPARG,qubo_minus_greedy,EF10%,-0.0833333333333333,-0.4166666666666665,0.0,0.0,0.000000|0.000000|-0.416667|0.000000|0.000000
